project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_group_name,purchase_method_name,announce_date,project_money,price_build,sum_price_agree,year,transaction_date,province,district,subdistrict,project_status,geom,project_lat,project_lon,contract_winner_tin,contract_winner_name,contract_contract_no,contract_contract_date,contract_contract_finish_date,contract_price_agree,contract_status
65127236035,ประกวดราคาจ้างก่อสร้างโครงการเสริมผิวลาดยางแอสฟัลติกคอนกรีต ถนนสาย สข.1058 แยกทางหลวงหมายเลข 4 - นิคมอุตสาหกรรมฉลุง ขนาดผิวจราจรกว้าง 14.00 - 21.00 เมตร หนา 0.05 - 0.07 เมตร ไหล่ทางกว้างข้างละ 0.00 -2.30 เมตร ระยะทาง 4.225 กิโลเมตร ตำบลท่าช้าง อำเภอบางกล่ำ และตำบลฉลุง อำเภอหาดใหญ่ จังหวัดสงขลา ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวงชนบท,แขวงทางหลวงชนบทสงขลา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),10 ม.ค. 66,42200000,42204516.82,42180000,2566,27 ก.พ. 66,สงขลา,บางกล่ำ,ท่าช้าง,ระหว่างดำเนินการ,POINT(100.4037094116211 7.030023817125638),7.030023817125638,100.4037094116211,0933543000545,ห้างหุ้นส่วนจำกัด เพชรรุ่งโรจน์ก่อสร้าง,300/2566,27 ก.พ. 66,4 ก.ค. 66,42180000,ระหว่างดำเนินการ
65047072637,ประกวดราคาจ้างก่อสร้างขยายผิวจราจรถนนลาดยางแอสฟัลต์คอนกรีต สายบ้านท่าไทร ตำบลท่าช้าง อำเภอบางกล่ำ - บ้านบางเหรียง ตำบลบางเหรียง อำเภอควนเนียง จังหวัดสงขลา  กว้าง ๑๒.๐๐ เมตร ระยะทาง ๑.๐๐๐  กิโลเมตร รหัสสายทาง สขถ.๑-๐๐๔๔  รายละเอียดตามแบบแปลนขององค์การบริหารส่วนจังหวัดสงขลา ที่ ท-๐๐๗/๒๕๖๔ ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดสงขลา,องค์การบริหารส่วนจังหวัดสงขลา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),6 ก.ย. 65,12500000,12640463.33,12489000,2566,3 พ.ย. 65,สงขลา,บางกล่ำ,ท่าช้าง,ระหว่างดำเนินการ,POINT(100.389197304342 7.04631366041095),7.04631366041095,100.389197304342,0903561002228,ห้างหุ้นส่วนจำกัด เอส.แอล.เอส.คอนส์,23/2566,3 พ.ย. 65,2 เม.ย. 66,12489000,ระหว่างดำเนินการ
66027162573,"ประกวดราคาจ้างก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสทางหลวงท้องถิ่น สข.ถ. 23022 สายหัวสะพาน - คลองวาด หมู่ที่ 11 บ้านท่าไทร ตำบลท่าช้าง กว้าง 10 เมตร ยาว 919 เมตร และ กว้าง 5 เมตร ยาว 50 เมตร หนา 0.15 เมตร หรือมีพื้นที่ไม่น้อยกว่า 9,440 ตารางเมตร เทศบาลตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)",จ้างก่อสร้าง,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),8 มี.ค. 66,9577000,9565997.61,7031000,2566,25 เม.ย. 66,สงขลา,บางกล่ำ,ท่าช้าง,ระหว่างดำเนินการ,POINT(100.44971466064453 7.025934898660902),7.0259348986609025,100.44971466064453,0905545001419,บริษัท พินันท์พัฒน์ก่อสร้าง จำกัด,15/2566,25 เม.ย. 66,21 พ.ย. 66,7031000,ระหว่างดำเนินการ
66049389166,ประกวดราคาจ้างก่อสร้างงานวางท่อติดตั้งประปาให้แก่ บจ.หาดใหญ่นครินทร์ หมู่ 1 ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา การประปาส่วนภูมิภาคสาขาหาดใหญ่ (ชั้นพิเศษ) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,การประปาส่วนภูมิภาค,การประปาส่วนภูมิภาคเขต 5,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),11 พ.ค. 66,6145955,5652236,3745000,2566,15 มิ.ย. 66,สงขลา,บางกล่ำ,ท่าช้าง,ระหว่างดำเนินการ,POINT(100.389197304342 7.04631366041095),7.04631366041095,100.389197304342,0903539000579,ห้างหุ้นส่วนจำกัด วัฒนะวิศวการโยธา 96,กปภ.ข.5/45/2566,15 มิ.ย. 66,17 ต.ค. 66,3745000,ระหว่างดำเนินการ
66059298239,ประกวดราคาจ้างก่อสร้างคูระบายน้ำ คสล.สายบ้านชักพระ ตำบลควนลัง อำเภอหาดใหญ่ - บ้านหนองขวน ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา กว้าง ๐.๕๐ เมตร ลึก ๐.๗๐  เมตร ยาว ๘๖๘.๐๐ เมตร รหัสสายทาง สข.ถ.๑-๐๒๑๐ รายละเอียดตามแบบแปลนขององค์การบริหารส่วนจังหวัดสงขลา ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,องค์การบริหารส่วนจังหวัดสงขลา,องค์การบริหารส่วนจังหวัดสงขลา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),21 มิ.ย. 66,3500000,3795596.02,2730000,2566,14 ก.ย. 66,สงขลา,บางกล่ำ,ท่าช้าง,ระหว่างดำเนินการ,"POLYGON((100.40108008632443 7.02844430380302,100.389197304342 7.06418301701888,100.37731452235958 7.02844430380302,100.40108008632443 7.02844430380302))",7.040357208208308,100.389197304342,0923551000061,ห้างหุ้นส่วนจำกัด ซี เจ พี คอนสตรัคชั่น,119/2566,14 ก.ย. 66,12 ม.ค. 67,2730000,ระหว่างดำเนินการ
65117013990,จ้างเหมาบริการซ่อมแซมถนนลาดยางแอสฟัลท์ติกคอนกรีต บริเวณถนนสายกลางนา 2 หมู่ที่ 4 ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,499500,499500,499500,2566,4 พ.ย. 65,นครราชสีมา,เฉลิมพระเกียรติ,ท่าช้าง,ระหว่างดำเนินการ,,,,0903551000541,ห้างหุ้นส่วนจำกัด หาดใหญ่ กรุ๊ป,1/2566,4 พ.ย. 65,4 ธ.ค. 65,499500,ระหว่างดำเนินการ
66037431109,จ้างย้ายแนวบ้านบางเหรียง (ช่วง3) ถ.สายบางเหรียง-บางเหรียง ต.ท่าช้าง อ.บางกล่ำ จ.สงขลา โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,การไฟฟ้าส่วนภูมิภาค,การไฟฟ้าส่วนภูมิภาคสาขาหาดใหญ่,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,487973,487973,487588.3,2566,25 เม.ย. 66,สงขลา,บางกล่ำ,ท่าช้าง,สิ้นสุดสัญญา,POINT(100.389197304342 7.04631366041095),7.04631366041095,100.389197304342,0903537001543,ห้างหุ้นส่วนจำกัด หาดใหญ่อาร์.เอส.เอ็นจิเนียริ่ง,3002221907,25 เม.ย. 66,25 พ.ค. 66,487588.3,สิ้นสุดสัญญา
66037243948,จ้างซ่อมแซมหลุมบ่อถนนดินลูกรัง ภายใน หมู่ที่ 9 บ้านป่ายาง ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,461227.07,461227.07,461200,2566,25 เม.ย. 66,นครราชสีมา,เฉลิมพระเกียรติ,ท่าช้าง,ระหว่างดำเนินการ,,,,390110115xxxx,สุวรรณมณีวัสดุ,18/2566,25 เม.ย. 66,24 มิ.ย. 66,461200,ระหว่างดำเนินการ
66027247390,จ้างจ้างซ่อมแซมถนนดินลูกรัง สายป้ายอ้ายเท่ง - ควนสูง - อนามัยป่ายาง หมู่ที่ 9 และหมู่ที่ 10 ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,397574.77,397574.77,397500,2566,24 ก.พ. 66,นครราชสีมา,เฉลิมพระเกียรติ,ท่าช้าง,ระหว่างดำเนินการ,,,,0915564000457,บริษัท เอชวายจี เอ็นจิเนียริ่ง จำกัด,12/2566,24 ก.พ. 66,10 เม.ย. 66,397500,ระหว่างดำเนินการ
66037438042,"จ้างซ่อมแซมผิวจราจรแอสฟัลท์ติกคอนกรีต ภายในเขตพื้นที่ หมู่ที่ 7,12 และหมู่ที่ 16 ตำบลท่าช้าง อำเภอบางกล่ำ จังหวัดสงขลา โดยวิธีเฉพาะเจาะจง",จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลท่าช้าง,เทศบาลตำบลท่าช้าง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,367700,367700,367700,2566,4 เม.ย. 66,นครราชสีมา,เฉลิมพระเกียรติ,ท่าช้าง,ระหว่างดำเนินการ,,,,0903551000541,ห้างหุ้นส่วนจำกัด หาดใหญ่ กรุ๊ป,13/2566,4 เม.ย. 66,4 พ.ค. 66,367700,ระหว่างดำเนินการ
